Município;Classes de rendimento nominal mensal domiciliar per capita;Total;Branca;Preta;Amarela;Parda;Indígena
Barretos (SP);Total;121977;74203;10698;1239;35780;59
Barretos (SP);Até 1/4 de salário mínimo;3702;1408;268;19;2007;-
Barretos (SP);Mais de 1/4 a 1/2 salário mínimo;13423;6172;1612;64;5575;-
Barretos (SP);Mais de 1/2 a 1 salário mínimo;35196;19768;3404;331;11634;59
Barretos (SP);Mais de 1 a 2 salários mínimos;42002;25861;3890;461;11790;-
Barretos (SP);Mais de 2 a 3 salários mínimos;13300;9806;953;80;2461;-
Barretos (SP);Mais de 3 a 5 salários mínimos;7006;5670;281;143;913;-
Barretos (SP);Mais de 5 a 10 salários mínimos;3175;2767;40;115;253;-
Barretos (SP);Mais de 10 a 15 salários mínimos;768;640;21;6;101;-
Barretos (SP);Mais de 15 a 20 salários mínimos;74;74;-;-;-;-
Barretos (SP);Mais de 20 salários mínimos;96;90;-;-;6;-
Barretos (SP);Sem rendimento;3235;1946;230;19;1041;-
Bebedouro (SP);Total;76151;49950;4817;94;21259;32
Bebedouro (SP);Até 1/4 de salário mínimo;2329;1133;354;-;842;-
Bebedouro (SP);Mais de 1/4 a 1/2 salário mínimo;9755;5793;612;-;3349;-
Bebedouro (SP);Mais de 1/2 a 1 salário mínimo;22748;13243;1455;16;8002;32
Bebedouro (SP);Mais de 1 a 2 salários mínimos;26086;17378;1812;58;6838;-
Bebedouro (SP);Mais de 2 a 3 salários mínimos;7290;5943;377;20;951;-
Bebedouro (SP);Mais de 3 a 5 salários mínimos;4425;3750;78;-;597;-
Bebedouro (SP);Mais de 5 a 10 salários mínimos;1445;1215;45;-;185;-
Bebedouro (SP);Mais de 10 a 15 salários mínimos;320;299;-;-;22;-
Bebedouro (SP);Mais de 15 a 20 salários mínimos;27;27;-;-;-;-
Bebedouro (SP);Mais de 20 salários mínimos;61;61;-;-;-;-
Bebedouro (SP);Sem rendimento;1663;1108;83;-;473;-
Colina (SP);Total;18433;10843;1027;61;6479;23
Colina (SP);Até 1/4 de salário mínimo;262;115;5;-;142;-
Colina (SP);Mais de 1/4 a 1/2 salário mínimo;2191;1046;153;9;983;-
Colina (SP);Mais de 1/2 a 1 salário mínimo;7075;3969;463;4;2629;10
Colina (SP);Mais de 1 a 2 salários mínimos;6401;3762;344;31;2249;14
Colina (SP);Mais de 2 a 3 salários mínimos;1340;997;50;7;286;-
Colina (SP);Mais de 3 a 5 salários mínimos;712;575;11;9;117;-
Colina (SP);Mais de 5 a 10 salários mínimos;264;251;-;-;13;-
Colina (SP);Mais de 10 a 15 salários mínimos;51;51;-;-;-;-
Colina (SP);Mais de 15 a 20 salários mínimos;12;12;-;-;-;-
Colina (SP);Mais de 20 salários mínimos;10;10;-;-;-;-
Colina (SP);Sem rendimento;115;55;-;-;60;-
Colômbia (SP);Total;6378;2718;684;101;2875;-
Colômbia (SP);Até 1/4 de salário mínimo;178;78;5;-;95;-
Colômbia (SP);Mais de 1/4 a 1/2 salário mínimo;1254;465;165;9;615;-
Colômbia (SP);Mais de 1/2 a 1 salário mínimo;2223;946;227;43;1006;-
Colômbia (SP);Mais de 1 a 2 salários mínimos;2032;834;233;36;928;-
Colômbia (SP);Mais de 2 a 3 salários mínimos;413;243;23;-;146;-
Colômbia (SP);Mais de 3 a 5 salários mínimos;141;87;9;3;41;-
Colômbia (SP);Mais de 5 a 10 salários mínimos;27;21;-;3;3;-
Colômbia (SP);Mais de 10 a 15 salários mínimos;6;6;-;-;-;-
Colômbia (SP);Mais de 15 a 20 salários mínimos;-;-;-;-;-;-
Colômbia (SP);Mais de 20 salários mínimos;-;-;-;-;-;-
Colômbia (SP);Sem rendimento;105;38;21;7;40;-
Guaraci (SP);Total;10313;5617;724;9;3943;20
Guaraci (SP);Até 1/4 de salário mínimo;554;137;20;4;392;-
Guaraci (SP);Mais de 1/4 a 1/2 salário mínimo;1807;958;156;-;693;-
Guaraci (SP);Mais de 1/2 a 1 salário mínimo;3588;1711;275;-;1582;20
Guaraci (SP);Mais de 1 a 2 salários mínimos;2951;1678;239;-;1034;-
Guaraci (SP);Mais de 2 a 3 salários mínimos;802;602;15;5;181;-
Guaraci (SP);Mais de 3 a 5 salários mínimos;328;291;5;-;32;-
Guaraci (SP);Mais de 5 a 10 salários mínimos;168;163;-;-;5;-
Guaraci (SP);Mais de 10 a 15 salários mínimos;16;16;-;-;-;-
Guaraci (SP);Mais de 15 a 20 salários mínimos;-;-;-;-;-;-
Guaraci (SP);Mais de 20 salários mínimos;10;10;-;-;-;-
Guaraci (SP);Sem rendimento;88;51;14;-;24;-
Jaborandi (SP);Total;6197;3256;550;27;2330;34
Jaborandi (SP);Até 1/4 de salário mínimo;91;32;12;12;36;-
Jaborandi (SP);Mais de 1/4 a 1/2 salário mínimo;858;385;64;7;402;-
Jaborandi (SP);Mais de 1/2 a 1 salário mínimo;1957;891;191;-;851;23
Jaborandi (SP);Mais de 1 a 2 salários mínimos;2439;1336;236;5;851;11
Jaborandi (SP);Mais de 2 a 3 salários mínimos;454;295;31;3;125;-
Jaborandi (SP);Mais de 3 a 5 salários mínimos;270;226;13;-;31;-
Jaborandi (SP);Mais de 5 a 10 salários mínimos;82;55;-;-;27;-
Jaborandi (SP);Mais de 10 a 15 salários mínimos;10;10;-;-;-;-
Jaborandi (SP);Mais de 15 a 20 salários mínimos;3;3;-;-;-;-
Jaborandi (SP);Mais de 20 salários mínimos;5;5;-;-;-;-
Jaborandi (SP);Sem rendimento;29;18;3;-;8;-
Monte Azul Paulista (SP);Total;18125;13036;775;21;4293;-
Monte Azul Paulista (SP);Até 1/4 de salário mínimo;249;155;11;-;83;-
Monte Azul Paulista (SP);Mais de 1/4 a 1/2 salário mínimo;1743;943;112;-;688;-
Monte Azul Paulista (SP);Mais de 1/2 a 1 salário mínimo;6361;4476;319;-;1565;-
Monte Azul Paulista (SP);Mais de 1 a 2 salários mínimos;6292;4461;295;4;1533;-
Monte Azul Paulista (SP);Mais de 2 a 3 salários mínimos;1573;1336;25;-;211;-
Monte Azul Paulista (SP);Mais de 3 a 5 salários mínimos;1064;960;3;-;101;-
Monte Azul Paulista (SP);Mais de 5 a 10 salários mínimos;504;449;-;18;37;-
Monte Azul Paulista (SP);Mais de 10 a 15 salários mínimos;86;63;11;-;11;-
Monte Azul Paulista (SP);Mais de 15 a 20 salários mínimos;10;5;-;-;5;-
Monte Azul Paulista (SP);Mais de 20 salários mínimos;7;7;-;-;-;-
Monte Azul Paulista (SP);Sem rendimento;237;179;-;-;57;-
Olímpia (SP);Total;54990;36068;2987;102;15834;-
Olímpia (SP);Até 1/4 de salário mínimo;1607;782;172;-;653;-
Olímpia (SP);Mais de 1/4 a 1/2 salário mínimo;6677;3571;468;10;2628;-
Olímpia (SP);Mais de 1/2 a 1 salário mínimo;16245;9833;1085;12;5315;-
Olímpia (SP);Mais de 1 a 2 salários mínimos;18929;12593;999;40;5297;-
Olímpia (SP);Mais de 2 a 3 salários mínimos;5768;4544;143;-;1080;-
Olímpia (SP);Mais de 3 a 5 salários mínimos;2759;2455;49;-;255;-
Olímpia (SP);Mais de 5 a 10 salários mínimos;949;835;-;13;101;-
Olímpia (SP);Mais de 10 a 15 salários mínimos;112;98;-;-;14;-
