ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento,Total,Branca,Preta,Parda,Indígena,perc_branca,perc_preta,perc_parda,perc_indigena,perc_negra,renda_media_estimada
2017,BARRETOS,SP,116963.0,116963.0,120638.0,100.0,100.0,100.0,45.12,1674482.85,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2014,BARRETOS,SP,114910.0,112345.0,112345.0,97.5,100.0,100.0,32.63,2173747.11,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2021,BARRETOS,SP,119782.0,123546.0,123546.0,100.0,85.0,100.0,27.0,2412241.81,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2013,BARRETOS,SP,114191.0,110900.0,110615.0,96.8,100.0,100.0,29.89,1513752.68,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2015,BARRETOS,SP,115610.0,112927.0,112345.0,97.2,100.0,100.0,29.51,1445619.47,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2022,BARRETOS,SP,,116800.0,116752.0,,80.0,100.0,28.31,1091729.48,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2016,BARRETOS,SP,116294.0,116294.0,116294.0,100.0,100.0,99.76,28.03,4903962.63,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2020,BARRETOS,SP,119091.0,122833.0,122833.0,100.0,80.0,100.0,20.53,5374006.14,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2018,BARRETOS,SP,117647.0,121344.0,121344.0,100.0,99.5,100.0,41.51,1943150.48,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2019,BARRETOS,SP,118378.0,122098.0,122098.0,100.0,87.18,100.0,21.5,3322815.32,121977.0,74203.0,10698.0,35780.0,59.0,0.6083359977700714,0.0877050591504955,0.2933339891946842,0.0004836977462964,0.3810390483451798,1920.466846208712
2015,BEBEDOURO,SP,73973.0,77545.0,77545.0,100.0,100.0,33.0,48.44,942718.23,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2016,BEBEDOURO,SP,74038.0,77695.0,77695.0,100.0,100.0,38.0,44.2,583100.0,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2020,BEBEDOURO,SP,73904.0,77555.0,77555.0,100.0,73.25,45.0,38.5,8372063.19,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2019,BEBEDOURO,SP,73848.0,77496.0,77496.0,100.0,65.02,56.64,33.4,2128638.45,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2018,BEBEDOURO,SP,73791.0,77436.0,77436.0,100.0,53.42,56.64,20.01,2677532.19,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2014,BEBEDOURO,SP,73907.0,77387.0,77387.0,99.9,100.0,33.0,39.11,1170848.47,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2021,BEBEDOURO,SP,73959.0,77612.0,77555.0,100.0,68.21,45.0,33.95,7815371.46,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2017,BEBEDOURO,SP,74101.0,77761.0,77761.0,100.0,100.0,34.57,38.01,583373.5,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2022,BEBEDOURO,SP,,76373.0,76373.0,,80.0,45.0,31.07,6658913.89,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2013,BEBEDOURO,SP,73840.0,77387.0,77387.0,100.0,100.0,33.0,49.92,1286188.64,76151.0,49950.0,4817.0,21259.0,32.0,0.6559336055994012,0.0632558994629092,0.2791690194482016,0.0004202177253089,0.3424249189111108,1796.9230193436551
2019,COLINA,SP,17248.0,16223.0,16223.0,94.1,100.0,100.0,44.59,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2020,COLINA,SP,17310.0,16699.0,16699.0,96.5,100.0,100.0,47.95,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2013,COLINA,SP,16910.0,18107.0,18107.0,100.0,80.0,100.0,8.92,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2021,COLINA,SP,17372.0,16699.0,16699.0,96.1,100.0,100.0,45.33,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2016,COLINA,SP,17101.0,18311.0,18311.0,100.0,100.0,100.0,30.91,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2017,COLINA,SP,17162.0,18311.0,18311.0,99.6,100.0,100.0,30.14,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
