ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento
2017,Barretos,SP,116963.0,116963.0,120638.0,100.0,100.0,100.0,45.12,1674482.85
2014,Barretos,SP,114910.0,112345.0,112345.0,97.5,100.0,100.0,32.63,2173747.11
2021,Barretos,SP,119782.0,123546.0,123546.0,100.0,85.0,100.0,27.0,2412241.81
2013,Barretos,SP,114191.0,110900.0,110615.0,96.8,100.0,100.0,29.89,1513752.68
2015,Barretos,SP,115610.0,112927.0,112345.0,97.2,100.0,100.0,29.51,1445619.47
2022,Barretos,SP,,116800.0,116752.0,,80.0,100.0,28.31,1091729.48
2016,Barretos,SP,116294.0,116294.0,116294.0,100.0,100.0,99.76,28.03,4903962.63
2020,Barretos,SP,119091.0,122833.0,122833.0,100.0,80.0,100.0,20.53,5374006.14
2018,Barretos,SP,117647.0,121344.0,121344.0,100.0,99.5,100.0,41.51,1943150.48
2019,Barretos,SP,118378.0,122098.0,122098.0,100.0,87.18,100.0,21.5,3322815.32
2015,Bebedouro,SP,73973.0,77545.0,77545.0,100.0,100.0,33.0,48.44,942718.23
2016,Bebedouro,SP,74038.0,77695.0,77695.0,100.0,100.0,38.0,44.2,583100.0
2020,Bebedouro,SP,73904.0,77555.0,77555.0,100.0,73.25,45.0,38.5,8372063.19
2019,Bebedouro,SP,73848.0,77496.0,77496.0,100.0,65.02,56.64,33.4,2128638.45
2018,Bebedouro,SP,73791.0,77436.0,77436.0,100.0,53.42,56.64,20.01,2677532.19
2014,Bebedouro,SP,73907.0,77387.0,77387.0,99.9,100.0,33.0,39.11,1170848.47
2021,Bebedouro,SP,73959.0,77612.0,77555.0,100.0,68.21,45.0,33.95,7815371.46
2017,Bebedouro,SP,74101.0,77761.0,77761.0,100.0,100.0,34.57,38.01,583373.5
2022,Bebedouro,SP,,76373.0,76373.0,,80.0,45.0,31.07,6658913.89
2013,Bebedouro,SP,73840.0,77387.0,77387.0,100.0,100.0,33.0,49.92,1286188.64
2019,Colina,SP,17248.0,16223.0,16223.0,94.1,100.0,100.0,44.59,0.0
2020,Colina,SP,17310.0,16699.0,16699.0,96.5,100.0,100.0,47.95,0.0
2013,Colina,SP,16910.0,18107.0,18107.0,100.0,80.0,100.0,8.92,
2021,Colina,SP,17372.0,16699.0,16699.0,96.1,100.0,100.0,45.33,0.0
2016,Colina,SP,17101.0,18311.0,18311.0,100.0,100.0,100.0,30.91,
2017,Colina,SP,17162.0,18311.0,18311.0,99.6,100.0,100.0,30.14,
2015,Colina,SP,17039.0,18245.0,18245.0,100.0,82.34,100.0,11.54,
2022,Colina,SP,,16699.0,16699.0,,92.27,100.0,33.67,0.0
2018,Colina,SP,17182.0,16223.0,16223.0,94.4,100.0,100.0,33.89,0.0
2014,Colina,SP,16976.0,18177.0,18177.0,100.0,80.0,100.0,8.95,
2015,Colômbia,SP,4489.0,5542.0,5301.0,100.0,78.22,100.0,28.36,523484.99
2018,Colômbia,SP,4483.0,5922.0,5763.0,100.0,98.99,100.0,22.0,187428.07
2017,Colômbia,SP,4499.0,5908.0,5752.0,100.0,96.61,100.0,24.98,109952.93
2021,Colômbia,SP,4498.0,6223.0,6051.0,100.0,98.22,100.0,18.51,342770.49
2020,Colômbia,SP,4492.0,6110.0,5950.0,100.0,97.49,100.0,26.99,438343.69
2019,Colômbia,SP,4488.0,5959.0,5799.0,100.0,96.8,100.0,36.07,66999.82
2013,Colômbia,SP,4478.0,4865.0,4546.0,100.0,74.36,100.0,31.83,1649401.05
2022,Colômbia,SP,,5515.0,5373.0,,97.25,100.0,22.06,704823.05
2016,Colômbia,SP,4494.0,5590.0,5391.0,100.0,94.55,100.0,29.7,391768.0
2014,Colômbia,SP,4483.0,4792.0,4787.0,100.0,76.41,100.0,37.61,278187.17
2022,Guaraci,SP,,10347.0,10347.0,,77.99,100.0,41.01,
2015,Guaraci,SP,9645.0,9976.0,9976.0,94.9,90.67,100.0,18.81,
2019,Guaraci,SP,10012.0,9976.0,9976.0,91.4,83.82,100.0,14.14,
2014,Guaraci,SP,9560.0,9976.0,9976.0,95.7,80.25,100.0,8.73,
2017,Guaraci,SP,9811.0,9976.0,9976.0,93.3,88.77,100.0,17.97,
2016,Guaraci,SP,9729.0,9976.0,9976.0,94.1,90.53,100.0,17.97,
2021,Guaraci,SP,10185.0,10382.0,10100.0,100.0,75.62,100.0,0.74,
2013,Guaraci,SP,9471.0,9976.0,9976.0,96.6,81.0,100.0,9.71,
2018,Guaraci,SP,9922.0,9976.0,9976.0,92.2,85.22,100.0,13.42,
2020,Guaraci,SP,10100.0,10100.0,10100.0,100.0,75.82,100.0,1.49,
2014,Jaborandi,SP,6420.0,5983.0,6292.0,93.2,86.63,100.0,14.96,299097.78
2015,Jaborandi,SP,6437.0,5525.0,5863.0,85.8,86.35,100.0,16.11,89439.24
2013,Jaborandi,SP,6404.0,5971.0,6580.0,93.2,84.63,100.0,16.01,279345.03
2016,Jaborandi,SP,6454.0,5540.0,5864.0,85.8,100.0,100.0,22.6,118307.87
2021,Jaborandi,SP,6513.0,5924.0,6243.0,91.0,100.0,100.0,18.28,296783.0
2018,Jaborandi,SP,6464.0,5641.0,5974.0,87.3,100.0,100.0,24.33,154419.34
2022,Jaborandi,SP,,5618.0,5654.0,,99.99,100.0,11.44,483669.97
